Title,Description,Subject (LCSH),Location,Date of Original,Physical Description,Local Location,Identifier,Filename
Mrs. Goodrich and children,"The wife and two children of Reverend Goodrich, a Free Methodist Minister, pose for a portrait. Stumps leftover from cutting trees for lumber dot the background.",Frontier and pioneer life; Portrait photography,,1886,negative; dry glass plate; b&w; 4 x 5 in. (10.2 x 12.7 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_076,ZWU_ARL081_076.jpg
Unidentified mill and stream,Bridges cross over a dam and flowing water.,Landscape photography,,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_077,ZWU_ARL081_077.jpg
"Oliver children, Julia, Fannette and Cara",Three children pose for a portrait in front of a wood pile.,"Foster, Jeanne Robert; Oliver, Fannette; Oliver, Cara",Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_078,ZWU_ARL081_078.jpg
Johnsburg lower falls on way to Garnet Lake,Water cascades down from Johnsburg lower falls towards Garnet Lake.,Landscape photography,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 7 in. (12.7 x 17.8 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_079,ZWU_ARL081_079.jpg
P. Welch family home,Three generations of the Welch family pose in front of their home near Olmsteadville. The family were immigrants from Wales.,Frontier and pioneer life,Olmsteadville - Essex County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_080,ZWU_ARL081_080.jpg
Part of Johnsburg Corners,A view of Johnsburg Corners showing neat rows of frame homes on either side of a dirt road with chopped wood stacked on the right.,Architecture,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_081,ZWU_ARL081_081.jpg
Scene of Hadley,"A millworks or tannery rests to the left of impressive dam and waterfalls in Hadley, NY.",Landscape photography,Hadley - Saratoga County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_082,ZWU_ARL081_082.jpg
Part of road work with oxen,A work crew pose in front of a team of oxen and steam-powered equipment while building a road. Two children look on from above.,Road construction equipment industry,,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_083,ZWU_ARL081_083.jpg
Part of old Wevertown,A view of Wevertown showing a storefront and some houses.,Architecture,Weavertown - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_084,ZWU_ARL081_084.jpg
Johnsburg family,An unidentified Johnsburg couple and four children pose outside their log home.,Frontier and pioneer life; Portrait photography,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_085,ZWU_ARL081_085.jpg
Bates Farm,The Bates farm rests atop a recently cleared patch of ground. Stacks of wood are neatly piled perhaps to construct fences.,Frontier and pioneer life; Landscape photography,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_086,ZWU_ARL081_086.jpg
Girl on horse,A girl in a black dress sits on top a horse near the treeline.,Frontier and pioneer life; Portrait photography,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_087,ZWU_ARL081_087.jpg
Small sawmill by mountain stream,A young couple pose by a sawmill on a stream. Many of the streams and tributaries of the river systems provided enough power for the settlers to mill their own timber as they cleared their land.,Architecture; Sawmills,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_088,ZWU_ARL081_088.jpg
"Robert Wilson House, first view","Robert Wilson, wife and dog pose in front of their home.","Wilson, Robert; Frontier and pioneer life",Olmsteadville - Essex County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_089,ZWU_ARL081_089.jpg
Ross Farm House,The Ross family pose on the porch of their farmhouse.,Architecture; Frontier and pioneer life,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_090,ZWU_ARL081_090.jpg
"Robert Wilson House, second view","Another view of Robert Wilson, his wife and dog at their home.","Wilson, Robert; Frontier and pioneer life",Olmsteadville - Essex County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_091,ZWU_ARL081_091.jpg
Dam and waterfalls,"Water flowing through a dam, likely on Mill Creek.",Frontier and pioneer life,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_092,ZWU_ARL081_092.jpg
Enos Putnam Farm on Mill Creek Road,"Enos Putnam farm showing a farmhouse, multiple wooden structures and a man with a team of horses. Putnam's farmlands included frontage along both sides of Mill Creek Road. The farmhouse provided comfort to the family while the smaller building consisted of a store where neighboring families could buy flour, sugar, tea and coffee. Across the road stood a large multi-level barn for livestock.",Frontier and pioneer life,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_093,ZWU_ARL081_093.jpg
Enos Putnam family,The Enos Putnam family poses for a portrait while an animal rushes by. ,"Putnam, Enos O.; George, Kate; Putnam, Martha; Putnam, Margaret Little",Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_094,ZWU_ARL081_094.jpg
Fred Bates,Fred Bates poses for a portrait on a hillside.,"Bates, Fred",,1887,negative; dry glass plate; b&w; 4 x 6 in. (10.2 x 15.2 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_095,ZWU_ARL081_095.jpg
Frank and Lucia Oliver,"Frank and Lucia Oliver, parents of Jeanne Robert Foster, pose for a portrait by a tree.","Oliver, Frank; Oliver, Lucia",Minerva - Essex County - New York,1887,negative; dry glass plate; b&w; 4.5 x 7 in. (11.4 x 17.8 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_096,ZWU_ARL081_096.jpg
Early views of Putnam Farm,A view of the Francis Putnam Farm looking north. A young girl sits on a tree stump.,Frontier and pioneer life,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_097,ZWU_ARL081_097.jpg
Schoolhouse in Johnsburg,School children pose in front of their rural school during the winter.,"Education, rural",Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_099,ZWU_ARL081_099.jpg
"Lily Bates with unidentified looking out upper
window",Lily Bates poses poses for a portrait while children look on through the window.,"Bates, Lily",Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_100,ZWU_ARL081_100.jpg
Unidentified out-of-doors scene,A winter scene showing snow and a creek.,Landscape photography,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_101,ZWU_ARL081_101.jpg
Mill and creek view at Hadley,Water flows by a dam in front a mill. Stacks of lumber are piled by the shore.,Sawmills,Hadley - Saratoga County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_101A,ZWU_ARL081_101A.jpg
"Mill Creek Outlet, Garnet Lake",A landscape view showing water in Garnet Lake.,Landscape photography,,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_102,ZWU_ARL081_102.jpg
Log house of Suprenant family,The Suprenant family and a team of oxen pose in front of a log house. One member holds a fiddle.,Frontier and pioneer life,Minerva - Essex County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_103,ZWU_ARL081_103.jpg
Thurman Station of the Adirondack Railway,A view of Thurman Station along the Adirondack Railway.,Railroads,Warrensburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_104,ZWU_ARL081_104.jpg
"Louis Suprenant House, Leonardsville",Another view of the Louis Suprenant House showing successive generations of the family sitting on and near the porch. Some members hold instruments and two boys lead horses.,"Suprenant, Louis",Minerva - Essex County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_105,ZWU_ARL081_105.jpg
Mill Creek Pond with man in boat,A man paddles a canoe in Mill Creek Pond.,Canoes and canoeing,Garnet Lake - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_106,ZWU_ARL081_106.jpg
Jerome Hewitt,Jerome Hewitt poses next to a barn adjacent to the Putnam Farm.,Portrait photography,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_107,ZWU_ARL081_107.jpg
Oliver House in Leonardsville,"The Oliver family pose outside of their log home in the Hamlet of Leonardsville, part of the Town of Minerva. Frank holds their horse, Nancy, a Hamiltonian mare.","Oliver, Lucia; Oliver, Cara; Foster, Jeanne Robert; Oliver, Frank",Minerva - Essex County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_108,ZWU_ARL081_108.jpg
Washburn family near Crane Mountain,The Washburn family pose by their farm home. A horse is led by a boy and stacks of firewood lie in the foreground.,Frontier and pioneer life,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_109,ZWU_ARL081_109.jpg
"Mill Creek Pond with boat, second view",A view of three women in a canoe on Mill Creek Pond come to the shore where men sit by docked boats.,Canoes and canoeing,Garnet Lake - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_110,ZWU_ARL081_110.jpg
Johnsburg scene looking east,Small farms dot roughly cleared land looking east near Mill Creek. ,Frontier and pioneer life; Landscape photography,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 4 x 5 in. (10.2 x 12.7 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_111,ZWU_ARL081_111.jpg
Reverend Osmond Putnam,"A portrait of photographer and reverend, Osmond D. Putnam.","Putnam, Osmond",Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 4.25 x 6.5 in. (10.8 x 16.5 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_112,ZWU_ARL081_112.jpg
Lucia N. Oliver,"Portrait of Lucia Oliver, mother of Jeanne Robert Foster in her home.","Oliver, Lucia",Minerva - Essex County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_113,ZWU_ARL081_113.jpg
Outlet dam of Mill Creek Pond,Two men a boy sit above the outlet dam of Mill Creek Pond. One holds a long rod.,Dams,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_114,ZWU_ARL081_114.jpg
Riverside Camp meeting grounds,Another view of the structures erected at the Riverside Camp meeting grounds.,Religious camps,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_115,ZWU_ARL081_115.jpg
"Local taxidermist, Johnsburg",A second view of a taxidermist and his family posing in front of a primitive log structure.,Frontier and pioneer life,Johnsburg - Warren County - New York,1885,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_116,ZWU_ARL081_116.jpg
Chestertown,"A view of Chestertown, NY, from a high vantage point.",Architecture,Chestertown - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_unnumbered001,ZWU_ARL081_unnumbered001.jpg
Northwoods shanty in Stony Creek,Another view of a shanty and seasonal workers at a lumber camp in Stony Creek.,Loggers,,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_unnumbered002,ZWU_ARL081_unnumbered002.jpg
Fred and Will Bates peeling bark in Johnsburg,Fred and William Bates peeling bark on top a pile of felled trees.,"Bates, Fred; Bates, William",Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_unnumbered003,ZWU_ARL081_unnumbered003.jpg
Kenyon family reunion picnic,Kenyon family posing for a portrait during a family reunion. Taken on the Garnet Lake side of the Ridge by the Big Rock.,Portrait photography,Garnet Lake - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_unnumbered004,ZWU_ARL081_unnumbered004.jpg
Sitting room in Putnam House,"Sitting room in the Frances Putnam House close to Johnsburg side of Crane Mountain. The end of the room faces away from the mountain toward the ridge. The other half of the room contained a reading table, wall kerosene lamp, couch and large iron stove.",Living rooms,Johnsburg - Warren County - New York,1886,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_unnumbered005,ZWU_ARL081_unnumbered005.jpg
Unidentified Adirondack Farm House,A group of women and children sit outside the doorway of a farmhouse.,Architecture,Johnsburg - Warren County - New York,1887,negative; dry glass plate; b&w; 5 x 8 in. (12.7 x 20.3 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_unnumbered006,ZWU_ARL081_unnumbered006.jpg
WSRR locomotive,Nine men pose in and around a locomotive belonging to the Walkersville Southern Railroad.,Railroad trains,,1887,negative; dry glass plate; b&w; 6.5 x 8.5 in. (16.5 x 21.6 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_unnumbered007,ZWU_ARL081_unnumbered007.jpg
"Erie Canal, first view","A barge belonging to John H. Suderley of Coeymans, NY, hauls bricks on the Erie Canal.",Erie Canal (N.Y.),,1887,negative; dry glass plate; b&w; 6.5 x 8.5 in. (16.5 x 21.6 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_unnumbered008,ZWU_ARL081_unnumbered008.jpg
"Erie Canal, second view",Another view of workers and bricks being transported on the Erie Canal.,Erie Canal (N.Y.),,1887,negative; dry glass plate; b&w; 6.5 x 8.5 in. (16.5 x 21.6 cm.),"Osmond D. Putnam Photographs, Box 2",ZWU_ARL081_unnumbered009,ZWU_ARL081_unnumbered009.jpg
